GISJOIN,undergrad_pct
G0400130813400,64.21
G0400130813500,64.41
G0400130813700,31.4
G0400190004117,9.99
G0400190002201,17.62
G0400130105004,83.77
G0400130106002,13.79
G0400130106003,24.47
G0400130106502,44.67
G0400130106701,20.42
G0400130106703,58.71
G0400130106802,23.74
G0400130107601,53.53
G0400130107602,54.58
G0400130108301,68.28
G0400130108501,39.59
G0400130112514,19.26
G0400130619200,28.95
G0400130619300,27.1
G0400130619400,32.35
G0400130619500,29.16
G0400130813900,42.94
G0400130814000,41.26
G0400130814100,41.56
G0400130814400,58.69
G0400130814500,52.27
G0400130814700,52.98
G0400130422620,50.81
G0400130422621,45.69
G0400130108502,65.28
G0400130109001,6.26
G0400130109002,26.0
G0400130092600,18.36
G0400130422649,42.31
G0400130422655,23.69
G0400130422651,43.72
G0400190005400,45.63
G0400190980002,0.0
G0400190980001,0.0
G0400130050611,14.18
G0400130105502,23.98
G0400130030401,57.84
G0400130040529,59.38
G0400130061017,0.0
G0400130061034,37.68
G0400130105501,21.27
G0400130217203,38.76
G0400130420402,46.16
G0400130106702,58.52
G0400130040531,22.92
G0400150950706,10.49
G0400150950703,6.02
G0400130810400,53.34
G0400130810500,72.36
G0400130810600,66.52
G0400130810800,68.34
G0400130810900,54.85
G0400130811000,46.03
G0400130811100,41.44
G0400130811500,51.32
G0400130811600,54.38
G0400130811700,39.6
G0400130422638,23.87
G0400130422640,23.94
G0400130814900,34.84
G0400130815000,54.41
G0400130815100,47.51
G0400130815300,67.36
G0400130071509,46.73
G0400130071506,23.73
G0400130071511,19.41
G0400130082012,16.09
G0400130105601,16.03
G0400130105702,17.87
G0400130421102,20.16
G0400130421801,8.17
G0400130421802,8.05
G0400130421902,6.02
G0400130105800,15.36
G0400130105400,51.6
G0400130105900,22.55
G0400130106100,46.17
G0400130106200,81.01
G0400130106300,56.75
G0400130110002,7.33
G0400130110100,4.59
G0400130110400,43.6
G0400130110600,44.75
G0400130110701,27.68
G0400130110702,33.21
G0400130216820,49.51
G0400130071513,45.3
G0400130421302,18.49
G0400130092309,21.57
G0400130092500,13.55
G0400130092305,17.75
G0400130092307,21.06
G0400130092308,21.71
G0400130611800,39.22
G0400130612600,52.78
G0400270011405,10.9
G0400270011403,29.25
G0400270011503,11.9
G0400270011700,44.75
G0400270010911,30.58
G0400190004323,49.38
G0400190004326,26.73
G0400190002509,10.7
G0400190980400,0.0
G0400130523006,33.45
G0400130523102,27.84
G0400130523103,30.25
G0400130422102,28.83
G0400130422103,15.08
G0400130422104,18.84
G0400130422105,23.92
G0400130422106,8.71
G0400130422107,23.41
G0400130422203,19.9
G0400130422209,40.63
G0400130941100,18.18
G0400130217700,63.82
G0400130319600,58.61
G0400130421901,20.19
G0400130422501,26.3
G0400130422502,22.61
G0400130422210,35.55
G0400130422211,50.56
G0400130422212,60.96
G0400130422213,47.69
G0400130422216,40.18
G0400130422218,26.25
G0400130422219,21.97
G0400130422220,50.77
G0400130422301,17.61
G0400130422302,18.94
G0400050001201,62.48
G0400050000301,52.5
G0400050980200,0.0
G0400050000602,49.1
G0400050001103,48.14
G0400130422222,52.28
G0400130422622,26.34
G0400130216830,28.26
G0400130216833,74.62
G0400130216837,70.08
G0400130216838,74.95
G0400190004115,10.37
G0400130980500,0.0
G0400130980400,66.67
G0400130522904,21.71
G0400130610700,63.33
G0400130611200,50.78
G0400130611700,54.16
G0400130061011,35.42
G0400130061013,31.92
G0400130061015,25.72
G0400130061018,44.72
G0400130422639,24.47
G0400130104301,26.22
G0400130104302,28.46
G0400130106501,64.01
G0400130110801,24.45
G0400190004640,70.93
G0400130040525,52.9
G0400130040526,6.2
G0400130040527,43.72
G0400130060801,8.79
G0400130422624,34.81
G0400190005300,49.31
G0400190004073,40.03
G0400190004332,57.58
G0400190004422,50.56
G0400190004118,27.56
G0400130422625,19.1
G0400130422626,23.26
G0400130422627,14.87
G0400130422628,14.14
G0400130422629,17.57
G0400130422630,10.42
G0400130422633,30.18
G0400130216839,72.16
G0400130216840,77.08
G0400130216841,76.05
G0400130216842,76.17
G0400130216844,70.97
G0400130216845,57.62
G0400130612700,58.78
G0400130612800,66.74
G0400130613300,59.03
G0400130613800,41.81
G0400130613900,46.25
G0400130614000,46.37
G0400270010910,18.41
G0400270011108,21.57
G0400130060802,18.29
G0400130060901,14.37
G0400130060902,11.55
G0400130060903,13.4
G0400130061010,47.66
G0400130612200,61.01
G0400130216850,68.28
G0400130216852,64.65
G0400130216853,63.6
G0400130615700,45.53
G0400230966402,27.89
G0400230966000,45.38
G0400230966101,45.01
G0400230966401,7.89
G0400130061032,22.3
G0400130061033,31.03
G0400130061035,16.71
G0400130061037,40.52
G0400130061038,29.84
G0400130061039,42.39
G0400130061040,16.43
G0400130061041,19.33
G0400130061042,13.17
G0400130110902,35.65
G0400130113502,11.06
G0400130611000,54.52
G0400190004628,28.25
G0400190004620,37.35
G0400190004437,69.96
G0400190004430,21.96
G0400130611100,44.44
G0400130611400,48.72
G0400130614100,52.17
G0400130614200,47.7
G0400130614300,55.57
G0400130614400,28.34
G0400130615300,11.43
G0400130615600,29.29
G0400130061020,57.51
G0400130061021,40.63
G0400130061026,35.32
G0400130061027,14.91
G0400130061028,23.0
G0400130116800,22.56
