,GISJOIN,pct_subprime,average_income,weight
90,G0100150002300,0.2139175257731958,45.07216494845361,776
91,G0100150002400,0.14761904761904762,60.92190476190476,1050
92,G0100150002501,0.1390063424947145,62.34196617336152,1892
93,G0100150002502,0.13650793650793644,62.422222222222224,945
94,G0100150002600,0.1475265017667844,62.09540636042403,1132
95,G0100170953800,0.12790697674418602,52.33527131782946,516
96,G0100170953900,0.1816939890710382,63.709016393442624,732
97,G0100170954000,0.15292949354518368,52.427010923535256,1007
98,G0100170954200,0.19146183699870625,53.526520051746445,773
99,G0100170954300,0.17599186164801625,49.154628687690746,983
100,G0100170954400,0.20895522388059698,37.850746268656714,201
101,G0100170954500,0.1980319803198032,46.248462484624845,813
102,G0100170954600,0.1621872103799814,47.502316960148285,1079
103,G0100170954700,0.15975103734439833,48.27109266943292,1446
104,G0100190955700,0.1503469545104086,72.26831148804935,1297
105,G0100190955800,0.14219330855018586,61.99349442379182,1076
106,G0100190955900,0.15936254980079675,59.50464807436919,753
107,G0100190956000,0.10799999999999996,68.61866666666667,750
108,G0100190956100,0.16817593790426905,56.871927554980594,773
109,G0100210060101,0.157006603081438,56.11592076302274,1363
110,G0100210060102,0.14323189926547739,59.84942287513117,1906
111,G0100210060200,0.14859437751004012,62.68005354752343,747
112,G0100210060300,0.13975155279503104,62.97826086956522,966
113,G0100210060401,0.1641429436705027,60.69109630526953,1651
114,G0100210060402,0.15926110833749374,53.54667998002996,2003
115,G0100210060500,0.21124999999999997,48.70875,800
116,G0100210060600,0.18329177057356602,51.093516209476306,802
117,G0100210060700,0.1582938388625592,55.561137440758294,1055
118,G0100230956700,0.23608017817371935,40.505567928730514,449
119,G0100230956800,0.24646781789638927,56.45682888540031,637
120,G0100230956900,0.334763948497854,54.22103004291846,466
121,G0100230957000,0.21532846715328463,54.25912408759124,274
122,G0100250957500,0.31950207468879666,56.136929460580916,241
123,G0100250957600,0.25598526703499075,73.04327808471454,1086
124,G0100250957700,0.3475609756097561,63.80487804878049,164
125,G0100250957800,0.28829915560916763,61.14354644149578,829
126,G0100250957901,0.2576419213973799,60.13391557496361,687
